AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT
2024;16486;0;COLEGIO SAN ANDRES IV;7;MAULE;71;7109;SAN CLEMENTE;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16487;9;CENTRO PARA EL DESARROLLO TECNOLOGICO;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16488;7;COLEGIO ADVENTISTA MARANATA;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;24;921;0;0;0;0;1;44;5;211;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;2;80;35;1388
2024;16489;5;COLEGIO BALTAZAR;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;31;1119;1;44;0;0;1;44;2;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;1273
2024;16490;9;CENTRO DE LENGUAJE MARCELA PAZ;7;MAULE;71;7101;TALCA;72;TALCA;3;2;0;1;5;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;0;0;6;202
2024;16491;7;COLEGIO ALBERT EINSTEIN;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;18;733;0;0;1;44;1;44;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;909
2024;16492;5;INSTITUTO VALENTIN LETELIER;7;MAULE;74;7401;LINARES;73;LINARES;3;2;1;1;23;850;0;0;0;0;1;44;2;69;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;28;1051
2024;16493;3;JARDIN LAS NIEVES;7;MAULE;74;7407;VILLA ALEGRE;73;LINARES;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;16494;1;COLEGIO CRISTIANO DE CURICO;7;MAULE;73;7301;CURICÓ;71;CURICÓ;3;2;0;1;36;1260;0;0;1;44;1;44;2;6;0;0;1;44;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;1425
2024;16496;8;ESCUELA MUNICIPAL DE ADULTOS NUEVA ESPERANZA;7;MAULE;71;7103;CUREPTO;72;TALCA;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
